"PROVINCIA","Casos Atentidos","% de feminicidios","Personas informadas","Poblacion Mujer","Población hombre","Zona","# DE CEM","# CEM comisaria","V. Psicológica","V. Física","V. Sexual","De 5-14 años","De 15 a 24 años","De 25 a 49 años","De 49 años a más"
"Huaraz",1033,0.3,3005,"83837",80099,"Urbano",1,0,3151,2830,1131,27789,28640,58684,24584
"Huari",155,0.3,1847,"28148",30566,"Rural",0,0,3151,2830,1131,11576,8369,20261,8830
"Huarmey",268,0.3,1992,"15016",15544,"Urbano",1,0,3151,2830,1131,5434,4732,10863,4885
"Huarochirí",1284,1,4989,"27930",30215,"Urbano",1,2,14209,12787,9256,9777,8658,20728,10031
"Huaylas",217,0.3,3170,"26150",25184,"Rural",1,0,3151,2830,1131,10490,8259,16395,7897
"Huaytará",80,2.9,1162,"8543",8704,"Rural",1,0,988,898,417,3139,2181,5097,3475
"Hualgayoc",131,1.1,1653,"40376",37568,"Rural",1,0,1562,1597,768,14496,11413,28392,12274
"Ica",2877,1,18965,"199100",192419,"Urbano",3,4,2103,2193,1233,66145,67580,139848,60878
"Ilo",639,1.1,4185,"37640",37009,"Urbano",1,1,603,618,201,12388,11621,28124,12854
"Islay",581,2.5,2414,"25808",26226,"Urbano",1,1,6005,4593,2345,7968,7443,18603,10201
"Jaén",812,1.1,4440,"91611",93821,"Urbano",1,0,1562,1597,768,37152,31763,63833,26512
"Jauja",620,2.3,7909,"43586",39671,"Urbano",1,1,2161,2278,1370,15189,13888,25395,14880
"Jorge Basadre",75,1,1261,"4257",6516,"Urbano",1,0,1035,980,534,1543,1608,4791,1712
"Junín",136,2.3,720,"12073",11060,"Urbano",1,0,2161,2278,1370,4119,3692,7222,4311
"Julcán",121,0.4,2548,"14041",13983,"Rural",1,0,2694,2860,1498,6471,4426,8224,4019
"La Convención",1251,1.3,11527,"69533",77615,"Rural",4,0,4142,3575,1612,27673,24341,53355,23637
"La Mar",266,1.2,2204,"34833",35820,"Urbano",1,0,1680,2028,890,15306,12797,22755,9880
"La Unión",274,2.5,2100,"6445",6382,"Rural",1,1,6005,4593,2345,2678,1433,3920,2430
"Lambayeque",1062,0.4,12153,"152075",148095,"Urbano",0,0,1190,1395,788,62608,51925,94515,42447
"Lamas",576,0.9,6138,"40125",41396,"Urbano",1,1,2647,2220,1346,18526,11861,27125,11884
"Lampa",0,1,2360,"21329",19527,"Rural",0,0,1788,2105,652,6790,6916,13751,7016
"Lauricocha",199,2.2,2183,"9241",9672,"Rural",1,0,1766,1816,1109,3886,2971,6118,3058
"Leoncio Prado",1122,2.2,5523,"63551",64242,"Urbano",1,1,1766,1816,1109,26256,22772,44065,18463
"Lima",35879,1,160169,"4406411",4168563,"Urbano",0,0,14209,12787,9256,1279353,1443368,3286141,1444889
"Loreto",222,0.2,2549,"30587",31850,"Rural",1,0,1208,1109,742,18390,9409,17565,6678
"Lucanas",184,1.2,0,"24795",26533,"Urbano",1,0,1680,2028,890,9488,6675,16402,9636
"Luya",398,1,2560,"21850",22586,"Rural",1,1,627,606,549,9591,6369,13889,6858
"Manu",293,1.2,4072,"8491",10058,"Urbano",1,1,558,322,269,3820,2918,7393,2134
"Maynas",1904,0.2,8317,"241475",238391,"Urbano",3,2,1208,1109,742,107797,77288,156773,69480
"Marañon",108,2.2,681,"13176",13446,"Rural",1,0,1766,1816,1109,6568,4462,8224,3388
"Mariscal Ramón Castilla",186,0.2,0,"23665",25407,"Rural",1,0,1208,1109,742,14477,7296,14402,5124
"Mariscal Cáceres",677,0.9,3349,"30987",25407,"Urbano",1,1,2647,2220,1346,14505,9567,22399,8970
"Mariscal Luzuriaga",154,0.3,1515,"10564",9720,"Rural",1,0,3151,2830,1131,4802,2995,5964,3118
"Mariscal Nieto",915,1.1,4602,"41877",43472,"Urbano",1,2,603,618,201,13377,13271,33462,14072
"Melgar",0,1,2962,"34273",32350,"Urbano",0,0,1788,2105,652,12932,11937,22087,10688
"Moho",0,1,1522,"10291",9462,"Rural",0,0,1788,2105,652,2980,2708,5022,4934
"Morropón",349,0.5,1311,"80849",81178,"Urbano",1,0,3097,2523,1057,31852,23771,51010,28079
"Moyobamba",1341,0.9,6146,"60261",62104,"Urbano",2,1,2647,2220,1346,26373,20794,42366,15889
"Nasca",542,1,3283,"33916",35241,"Urbano",1,0,2103,2193,1233,11923,10574,26104,11056
"Ocros",72,0.3,1181,"3361",3678,"Rural",1,0,3151,2830,1131,1185,866,2241,1402
"Otuzco",260,0.4,2247,"39286",38292,"Rural",1,0,2694,2860,1498,16788,11611,24744,11824
"Oxapampa",549,1.5,4221,"42864",44606,"Urbano",2,1,447,466,238,19283,13744,29630,11707
"Oyón",119,1,4188,"8296",9443,"Urbano",1,0,14209,12787,9256,3323,2274,6901,2759
"Pacasmayo",943,0.4,7209,"53127",49770,"Urbano",1,2,2694,2860,1498,18850,15530,34217,18497
"Pachitea",211,2.2,2919,"24814",24345,"Rural",1,0,1766,1816,1109,11622,8947,15331,5893
"Paita",639,0.5,3814,"65593",64299,"Urbano",1,2,3097,2523,1057,27173,21116,44823,17208
"Pallasca",133,0.3,1587,"11937",11554,"Rural",1,0,3151,2830,1131,5430,3198,6795,3913
"Palpa",121,1,1296,"6562",6670,"Urbano",1,0,2103,2193,1233,2335,1819,4441,2426
"Parinacochas",161,1.2,2940,"13279",14630,"Urbano",1,0,1680,2028,890,5681,4092,9244,4348
"Paruro",178,1.3,3402,"12748",12819,"Rural",1,0,4142,3575,1612,5272,3721,7376,5063
"Pasco",642,1.5,11074,"61212",61803,"Urbano",1,2,447,466,238,23411,21071,46428,17000
"Pataz",211,0.4,1032,"35506",40597,"Rural",1,0,2694,2860,1498,18026,12097,25713,8951
"Paucartambo",351,1.3,1160,"21205",21299,"Rural",1,0,4142,3575,1612,10419,7174,12779,5842
"Paucar del Sara Sara",203,1.2,198,"4595",5014,"Urbano",1,0,1680,2028,890,1771,1072,3195,1821
"Padre Abad",732,1,3588,"28812",31295,"Urbano",1,2,702,876,893,14300,9819,20406,7368
"Pisco",769,1,6029,"76601",74143,"Urbano",1,1,2103,2193,1233,28871,24820,52223,22363
"Picota",434,0.9,4352,"19537",21008,"Urbano",1,1,2647,2220,1346,9058,5866,13653,5897
"Piura",4278,0.5,21553,"405729",393592,"Urbano",1,4,3097,2523,1057,153881,138358,273964,119255
"Pomabamba",127,0.3,0,"13003",11791,"Rural",1,1,3151,2830,1131,5858,3712,7287,3927
"Puno",0,1,6745,"112458",107036,"Urbano",0,0,1788,2105,652,35091,38634,76573,38225
"Puerto Inca",525,2.2,7,"14998",17540,"Rural",1,1,1766,1816,1109,7966,4957,10985,3855
"Purús",26,1,836,"1383",1477,"Rural",1,0,702,876,893,781,405,936,313
"Putumayo",123,0.2,413,"3561",4219,"Urbano",1,0,1208,1109,742,2051,1479,2286,808
"Quispicanchi",363,1.3,1670,"44527",42903,"Rural",1,0,4142,3575,1612,20236,15423,27191,11629
"Recuay",177,0.3,802,"8979",8206,"Urbano",1,0,3151,2830,1131,3022,2443,5295,3185
"Requena",127,0.2,953,"28718",29793,"Urbano",1,0,1208,1109,742,17335,8274,16086,6964
"Rioja",1050,0.9,11263,"61120",61424,"Urbano",1,2,2647,2220,1346,27606,21032,41126,15101
"Rodríguez de Mendoza",215,1,1949,"14424",15574,"Rural",1,0,627,606,549,6372,4013,9965,4781
"San Antonio de Putina",0,1,0,"17207",18906,"Urbano",0,0,1788,2105,652,5634,6363,15025,4938
"San Ignacio",347,1.1,4552,"62823",67797,"Rural",1,0,1562,1597,768,30768,21596,41994,16565
"San Marcos",251,1.1,0,"24465",23638,"Rural",1,0,1562,1597,768,9971,6845,15670,7658
"San Martín",1612,0.9,7628,"96310",96785,"Urbano",1,0,2647,2220,1346,35168,33893,69510,29253
"San Miguel",119,1,1547,"23745",22298,"Rural",1,0,1562,1597,768,8402,5599,15341,8734
"San Pablo",116,1.1,1493,"11088",10014,"Rural",1,0,1562,1597,768,4517,2890,6843,3304
"San Román",0,1,4906,"157253",150164,"Urbano",0,0,1788,2105,652,56074,58988,119924,37074
"Sánchez Carrión",462,0.4,7293,"74739",69666,"Rural",1,1,2694,2860,1498,35898,24906,43389,16292
"Santa",3769,0.3,15858,"221100",214707,"Urbano",2,4,3151,2830,1131,73829,71463,152653,73828
"Santa Cruz",71,1.1,626,"18426",18738,"Rural",1,0,1562,3575,768,7057,4961,12055,6677
"Santiago de Chuco",155,0.4,349,"25343",25553,"Rural",1,0,2694,2860,1498,11789,7960,15743,6969
"Satipo",1636,2.3,6432,"98752",105233,"Rural",2,2,2161,2278,1370,48808,37148,66913,20867
"Sechura",252,0.5,861,"39763",39414,"Urbano",1,0,3097,2523,1057,18636,13001,25821,9073
"Sihuas",130,0.3,615,"13953",13018,"Rural",1,0,3151,2830,1131,6216,3859,7786,4488
"Sucre",109,1.2,2996,"4785",4660,"Urbano",0,0,1680,2028,890,1837,1212,2787,1855
"Sullana",925,0.5,3934,"158745",152709,"Urbano",1,2,3097,2523,1057,60034,50557,107681,48904
"Tacna",2764,2,17515,"155813",150550,"Urbano",1,5,1035,980,534,48936,52790,120843,48221
"Tahuamanu",0,1.2,890,"4909",6138,"Urbano",1,0,558,322,269,2125,1562,4343,1589
"Talara",439,0.5,1588,"71727",72423,"Urbano",1,0,3097,2523,1057,27559,21462,50063,25300
"Tambopata",929,1.2,3334,"53842",57632,"Urbano",2,1,558,322,269,23025,18391,42948,13473
"Tarata",104,1,1381,"2666",150550,"Urbano",1,0,1035,980,534,732,945,2066,1356
"Tarma",194,2.3,3608,"46391",43199,"Urbano",1,0,2161,2278,1370,15827,13946,29650,15988
"Tayacaja",598,2.9,2466,"41481",39922,"Rural",1,1,988,898,417,16956,14552,24236,13133
"Tocache",706,0.9,3613,"32808",36586,"Urbano",1,1,2647,2220,1346,14412,11159,24371,10439
"Trujillo",4382,0.4,20330,"503050",466966,"Urbano",4,3,2694,2860,1498,162765,173164,343044,153222
"Tumbes",1476,0,9076,"76914",78048,"Urbano",1,4,757,980,534,29761,24523,54938,24555
"Ucayali",114,0.2,0,"26606",28031,"Urbano",1,0,1208,1109,742,16131,7755,15687,6493
"Urubamba",269,1.3,1879,"30378",30361,"Urbano",1,0,4142,3575,1612,10887,10540,21605,8992
"Utcubamba",313,1,6435,"52542",54695,"Urbano",1,0,627,606,549,22793,17949,36177,14915
"Victor Fajardo",226,1.2,1442,"10324",9785,"Urbano",0,0,1680,2028,890,3532,2652,6197,3875
"Vilcashuamán",236,1.2,2608,"8791",8070,"Rural",1,0,1680,2028,890,3189,2279,5026,3156
"Virú",776,0.4,1418,"46259",46065,"Urbano",1,1,2694,2860,1498,19504,17110,31885,10341
"Yauli",356,2.3,5609,"18115",22275,"Urbano",1,1,2161,2278,1370,6295,5864,17258,6428
"Yarowilca",214,2.2,0,"10506",9391,"Rural",1,0,1766,1816,1109,4694,3381,5039,3469
"Yauyos",52,1,0,"9375",11088,"Urbano",1,0,14209,12787,9256,3326,2411,6906,4104
"Yungay",268,0.3,3343,"26026",24815,"Rural",1,1,3151,2830,1131,10079,8489,16584,7645
"Yunguyo",0,1,1864,"18901",18038,"Rural",0,0,1788,2105,652,5395,5515,11637,8223
"Zarumilla",403,0,3764,"24236",24608,"Urbano",1,0,757,695,252,10446,7994,17113,6395
